-0.56	0.06	2.52	0.09	-0.27	0.08	3.37	0.09
-0.50	0.12	1.67	0.05	-0.22	0.10	2.88	0.09
-0.44	0.16	1.18	0.10	-0.21	0.09	2.53	0.09
-0.45	0.20	0.88	0.05	-0.18	0.11	2.26	0.05
-0.36	0.37	0.65	0.09	-0.17	0.16	2.04	0.09
-0.29	0.39	0.52	0.09	-0.15	0.14	1.86	0.10
-0.45	0.40	0.44	0.05	-0.20	0.14	1.72	0.05
-0.28	0.79	0.33	0.09	-0.10	0.20	1.54	0.09
-0.32	0.89	0.28	0.09	-0.13	0.21	1.46	0.09
